Refdate,Link_Apto,Endereco,Bairro,Valor,Andares,Tamanho (m2),Valor (m2),Quartos,Suites,Garagem,Banheiros,Varanda,Mobiliado,Portaria,Metro
17/04/2023,https://loft.com.br/imovel/apartamento-horacio-alves-da-costa-cidade-ademar-sao-paulo-3-quartos-68m2/fj9zld,Condomínio Residencial Piazza Venezia - Rua Horácio Alves da Costa - Cidade Ademar - São Paulo - SP,Cidade Ademar,470000,4º andar em diante,68,6911,3,1,3,2,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-robert-bird-pedreira-sao-paulo-3-quartos-72m2/ejsifb,Condomínio Residencial Parque Dos Passaros - Rua Robert Bird - Pedreira - São Paulo - SP,Pedreira,315000,3º andar,72,4375,3,1,1,2,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-do-rio-bonito-parque-interlagos-sao-paulo-2-quartos-57m2/d5rp3f,Condomínio Residencial Interlagos - Avenida do Rio Bonito - Parque Interlagos - São Paulo - SP,Parque Interlagos,350000,3º andar,57,6140,2,0,1,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-sargento-geraldo-sant-ana-jardim-marajoara-sao-paulo-3-quartos-68m2/aztfjy,"Condomínio Portal Do Brooklyn', "" Avenida Sargento Geraldo Sant'Ana"", ' Jardim Marajoara - São Paulo - SP",Jardim Marajoara,455000,3º andar,68,6691,3,1,2,2,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-padre-bento-ibanez-cidade-ademar-sao-paulo-2-quartos-50m2/9qn0jy,Condomínio Residencial Prudencia Park - Rua Padre Bento Ibañez - Cidade Ademar - São Paulo - SP,Cidade Ademar,395000,4º andar em diante,50,7900,2,0,1,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-capitao-fonseca-rosa-santo-amaro-sao-paulo-3-quartos-118m2/7ira1w,Condomínio Esplanada Granja Julieta - Rua Capitão Fonseca Rosa - Santo Amaro - São Paulo - SP,Santo Amaro,765000,3º andar,118,6483,3,1,1,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-professor-djalma-bento-jardim-marajoara-sao-paulo-2-quartos-75m2/4ktwf3,Condomínio Nova América - Rua Professor Djalma Bento - Jardim Marajoara - São Paulo - SP,Jardim Marajoara,430000,4º andar em diante,75,5733,2,1,1,3,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-darabi-cidade-ademar-sao-paulo-2-quartos-123m2/1yjonlt,Condomínio Vila Inglesa - Rua Darabi - Cidade Ademar - São Paulo - SP,Cidade Ademar,400000,4º andar em diante,123,3252,2,0,1,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-darabi-cidade-ademar-sao-paulo-2-quartos-116m2/1qinaje,Rua Darabi - Cidade Ademar - São Paulo - SP,Cidade Ademar,390000,4º andar em diante,116,3362,2,0,1,1,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-sincora-cidade-ademar-sao-paulo-3-quartos-100m2/1g02yh3,Condomínio Edificio Belvedere - Rua Sincorá - Cidade Ademar - São Paulo - SP,Cidade Ademar,620000,3º andar,100,6200,3,1,2,2,0,Não,Parcial,100000000
