Link_Apto;Endereco;Bairro;Valor_RS;Andares;Tamanho_m2;Valor_RS/m2;Quartos;Suites;Garagem;Banheiros;Varanda;Mobiliado;Portaria;Metro;id;Refdate;Lat;Long
https://loft.com.br/imovel/apartamento-avenida-celso-garcia-tatuape-sao-paulo-3-quartos-68m2/poj9s8;Condomínio Villaggio Di Verona - Avenida Celso Garcia - Tatuapé - São Paulo - SP;Tatuapé;420680;4º andar em diante;68;6186;3;1;1;1;0;Não;24h;100000000;12482;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-chibaras-moema-indios-sao-paulo-3-quartos-107m2/1mrl7wh;Condomínio Edificio Residencial Allure Moema - Avenida Chibarás - Moema Índios - São Paulo - SP;MoemaÍndios;1850000;4º andar em diante;107;17289;3;1;2;4;1;Não;Sem descrição;564;12483;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-cidade-jardim-itaim-bibi-sao-paulo-1-quarto-40m2/1g4lwps;Condomínio Cond Edif Golden Tower International Apart Service - Avenida Cidade Jardim - Itaim Bibi - São Paulo - SP;Itaim Bibi;795000;4º andar em diante;40;19875;1;0;1;1;0;Não;24h;100000000;12484;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-clavasio-alves-da-silva-limao-sao-paulo-2-quartos-52m2/zjgulf;Condomínio Mirante Do Parque - Avenida Clavásio Alves da Silva - Limão - São Paulo - SP;Limão;425000;4º andar em diante;52;8173;2;0;1;1;0;Não;Sem descrição;100000000;12485;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-conceicao-tucuruvi-sao-paulo-2-quartos-55m2/1nnm7ac;Condomínio Residencial High Club - Avenida Conceição - Tucuruvi - São Paulo - SP;Tucuruvi;490000;4º andar em diante;55;8909;2;1;1;2;0;Não;Sem descrição;100000000;12486;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-conselheiro-carrao-carrao-sao-paulo-2-quartos-54m2/sj4e1u;Avenida Conselheiro Carrão - Carrão - São Paulo - SP;Carrão;307484;4º andar em diante;54;5694;2;0;1;1;1;Não;Sem descrição;100000000;12487;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-conselheiro-rodrigues-alves-vila-mariana-sao-paulo-3-quartos-110m2/ecutwj;Condomínio Edificio Parque Ibirapuera - Avenida Conselheiro Rodrigues Alves - Vila Mariana - São Paulo - SP;Vila Mariana;1297000;4º andar em diante;110;11790;3;2;2;4;1;Não;Sem descrição;988;12488;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-coronel-francisco-julio-cesar-alfieri-cidade-ademar-sao-paulo-3-quartos-65m2/1tlrllc;Condomínio Edifício Vitalis - Avenida Coronel Francisco Júlio César Alfieri - Cidade Ademar - São Paulo - SP;Cidade Ademar;586000;Sem info;65;9015;3;1;1;2;0;Não;Sem descrição;100000000;12489;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-cotovia-moema-passaros-sao-paulo-2-quartos-96m2/3w8f0n;Condomínio Edificio Prince Of Edinburgh - Avenida Cotovia - Moema Pássaros - São Paulo - SP;Moema Pássaros;1450000;4º andar em diante;96;15104;2;2;2;2;1;Não;Sem descrição;769;12490;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-cupece-cidade-ademar-sao-paulo-2-quartos-64m2/15acy2s;Condomínio Edificio Giardino - Avenida Cupecê - Cidade Ademar - São Paulo - SP;Cidade Ademar;420000;Sem info;64;6562;2;1;1;2;0;Não;Sem descrição;100000000;12491;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-damasceno-vieira-jabaquara-sao-paulo-2-quartos-95m2/1tb3biw;Condomínio Edificio Amelia - Avenida Damasceno Vieira - Jabaquara - São Paulo - SP;Jabaquara;900000;Sem info;95;9473;2;1;1;2;0;Não;Sem descrição;100000000;12492;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-diogenes-ribeiro-de-lima-alto-de-pinheiros-sao-paulo-2-quartos-66m2/19lfp85;Condomínio ALTO DE PINHEIROS 2001 - Avenida Diógenes Ribeiro de Lima - Alto de Pinheiros - São Paulo - SP;Altode Pinheiros;650000;Sem info;66;9848;2;1;2;2;0;Não;Sem descrição;100000000;12493;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-diogenes-ribeiro-de-lima-alto-de-pinheiros-sao-paulo-3-quartos-71m2/18vz48z;Condomínio ALTO DE PINHEIROS 2001 - Avenida Diógenes Ribeiro de Lima - Alto de Pinheiros - São Paulo - SP;Altode Pinheiros;450000;Sem info;71;6338;3;0;1;1;0;Não;Sem descrição;100000000;12494;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-do-cafe-jabaquara-sao-paulo-2-quartos-70m2/1iqt224;Condomínio Residencial - Avenida do Café - Jabaquara - São Paulo - SP;Jabaquara;600000;3º andar;70;8571;2;1;2;2;1;Não;Sem descrição;639;12495;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-do-cursino-cursino-sao-paulo-3-quartos-94m2/1mufq00;Condomínio Gemelli Di Francesco - Avenida do Cursino - Cursino - São Paulo - SP;Cursino;950000;4º andar em diante;94;10106;3;1;4;3;1;Não;Sem descrição;100000000;12496;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-do-cursino-sacoma-sao-paulo-2-quartos-47m2/15in8k2;Condomínio Residencial Spazio Veneto - Avenida do Cursino - Sacomã - São Paulo - SP;Sacomã;215000;4º andar em diante;47;4574;2;0;1;1;0;Não;Sem descrição;100000000;12497;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-do-guaca-mandaqui-sao-paulo-3-quartos-87m2/1g0vtij;Condomínio Edificio Perfil Santana - Avenida do Guacá - Mandaqui - São Paulo - SP;Mandaqui;830000;4º andar em diante;87;9540;3;1;2;3;0;Não;Parcial;100000000;12498;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-do-rio-pequeno-rio-pequeno-sao-paulo-2-quartos-47m2/3204bw;Condomínio Villagio Allegro - Avenida do Rio Pequeno - Rio Pequeno - São Paulo - SP;Rio Pequeno;322500;4º andar em diante;47;6861;2;0;1;1;0;Não;Sem descrição;100000000;12499;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-doutor-candido-motta-filho-rio-pequeno-sao-paulo-3-quartos-180m2/1j2noh0;Condomínio Vila Allegra Sao Francisco - Avenida Doutor Cândido Motta Filho - Rio Pequeno - São Paulo - SP;Rio Pequeno;1490000;4º andar em diante;180;8277;3;1;2;2;1;Não;Sem descrição;100000000;12500;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-doutor-cardoso-de-melo-vila-olimpia-sao-paulo-1-quarto-43m2/1jps2ic;Avenida Doutor Cardoso de Melo - Vila Olímpia - São Paulo - SP;Vila Olímpia;775000;4º andar em diante;43;18023;1;1;1;1;1;Não;Sem descrição;100000000;12501;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-doutor-cardoso-de-melo-vila-olimpia-sao-paulo-2-quartos-82m2/1m54rz9;Condomínio Olympia Ville - Avenida Doutor Cardoso de Melo - Vila Olímpia - São Paulo - SP;Vila Olímpia;1136000;3º andar;82;13853;2;2;2;2;2;Não;Sem descrição;100000000;12502;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-doutor-cardoso-de-melo-vila-olimpia-sao-paulo-3-quartos-91m2/18zg12m;Condomínio Edificio Monte Carlo - Avenida Doutor Cardoso de Melo - Vila Olímpia - São Paulo - SP;Vila Olímpia;800000;3º andar;91;8791;3;1;2;2;1;Não;Sem descrição;100000000;12503;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-doutor-guilherme-dumont-vilares-vila-sonia-sao-paulo-3-quartos-156m2/1nm7j8e;Condomínio Edificio Grotta Azzurra - Avenida Doutor Guilherme Dumont Vilares - Vila Sônia - São Paulo - SP;Vila Sônia;950000;4º andar em diante;156;6089;3;3;3;5;1;Não;24h;100000000;12504;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-doutor-joao-guimaraes-vila-sonia-sao-paulo-2-quartos-59m2/1r94zhe;Condomínio Edificio Omini - Avenida Doutor João Guimarães - Vila Sônia - São Paulo - SP;Vila Sônia;295000;4º andar em diante;59;5000;2;0;1;2;1;Não;Sem descrição;100000000;12505;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-engenheiro-luiz-gomes-cardim-sangirardi-aclimacao-sao-paulo-4-quartos-157m2/nm85z0;Condomínio Edificio Saint Albert - Avenida Engenheiro Luiz Gomes Cardim Sangirardi - Aclimação - São Paulo - SP;Aclimação;1300000;Sem info;157;8280;4;2;3;5;0;Não;Sem descrição;864;12506;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-ernesto-igel-vila-leopoldina-sao-paulo-2-quartos-53m2/zz29i1;Condomínio Passeio Vila Leopoldina - Avenida Ernesto Igel - Vila Leopoldina - São Paulo - SP;Vila Leopoldina;610000;4º andar em diante;53;11509;2;0;1;1;1;Não;Sem descrição;100000000;12507;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-eusebio-matoso-pinheiros-sao-paulo-2-quartos-85m2/1bmb91h;Condomínio Home Design Pinheiros - Avenida Eusébio Matoso - Pinheiros - São Paulo - SP;Pinheiros;1750000;4º andar em diante;85;20588;2;2;2;5;0;Não;Sem descrição;606;12508;2023-04-17T00:00;;
